Observation,TextUrn,Image,Comments
urn:cite:op:16B.1,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ο,"urn:cite:hmt:vaimg.VA206VN-0708@0.503,0.2307,0.016,0.0225",
urn:cite:op:16B.2,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@υ,"urn:cite:hmt:vaimg.VA206VN-0708@0.517,0.2307,0.013,0.0225",
urn:cite:op:16B.3,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@τ,"urn:cite:hmt:vaimg.VA206VN-0708@0.529,0.2307,0.013,0.0225",
urn:cite:op:16B.4,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@α,"urn:cite:hmt:vaimg.VA206VN-0708@0.543,0.2292,0.013,0.0225",
urn:cite:op:16B.5,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@στ,"urn:cite:hmt:vaimg.VA206VN-0708@0.554,0.2292,0.017,0.0225",στ ligature
urn:cite:op:16B.6,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@α[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.569,0.2374,0.01,0.009",
urn:cite:op:16B.7,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ι,"urn:cite:hmt:vaimg.VA206VN-0708@0.575,0.2389,0.015,0.012",
urn:cite:op:16B.8,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@δ,"urn:cite:hmt:vaimg.VA206VN-0708@0.583,0.2314,0.018,0.0173",
urn:cite:op:16B.9,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ο[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.599,0.2322,0.013,0.0173",
urn:cite:op:16B.10,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@δ[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.611,0.2337,0.013,0.0173",
urn:cite:op:16B.11,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@υ[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.628,0.2337,0.01,0.0173",
urn:cite:op:16B.12,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@σ,"urn:cite:hmt:vaimg.VA206VN-0708@0.635,0.2337,0.011,0.0173",
urn:cite:op:16B.13,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ε,"urn:cite:hmt:vaimg.VA206VN-0708@0.646,0.2337,0.013,0.0173",
urn:cite:op:16B.14,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@υ[3],"urn:cite:hmt:vaimg.VA206VN-0708@0.653,0.2382,0.011,0.012",
urn:cite:op:16B.15,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@σ[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.662,0.2314,0.013,0.0195",
urn:cite:op:16B.16,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@δ[3],"urn:cite:hmt:vaimg.VA206VN-0708@0.675,0.2314,0.019,0.0195",
urn:cite:op:16B.17,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ο[3],"urn:cite:hmt:vaimg.VA206VN-0708@0.693,0.2382,0.011,0.0135",
urn:cite:op:16B.18,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@υ[4],"urn:cite:hmt:vaimg.VA206VN-0708@0.703,0.2382,0.009,0.0105",
urn:cite:op:16B.19,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ρ,"urn:cite:hmt:vaimg.VA206VN-0708@0.711,0.2367,0.012,0.0195",
urn:cite:op:16B.20,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ι[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.721,0.2314,0.012,0.0195",
urn:cite:op:16B.21,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@κ,"urn:cite:hmt:vaimg.VA206VN-0708@0.73,0.2307,0.012,0.0195",
urn:cite:op:16B.22,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@λ,"urn:cite:hmt:vaimg.VA206VN-0708@0.739,0.2382,0.014,0.0143",
urn:cite:op:16B.23,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@υ[5],"urn:cite:hmt:vaimg.VA206VN-0708@0.749,0.2382,0.011,0.0143",
urn:cite:op:16B.24,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@τ[2],"urn:cite:hmt:vaimg.VA206VN-0708@0.759,0.2382,0.009,0.012",
urn:cite:op:16B.25,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@ο[4],"urn:cite:hmt:vaimg.VA206VN-0708@0.766,0.2329,0.009,0.0173",
urn:cite:op:16B.26,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@σ[3],"urn:cite:hmt:vaimg.VA206VN-0708@0.776,0.2329,0.01,0.0173",
urn:cite:op:16B.27,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@η,"urn:cite:hmt:vaimg.VA206VN-0708@0.788,0.2329,0.015,0.0173",
urn:cite:op:16B.28,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@δ[4],"urn:cite:hmt:vaimg.VA206VN-0708@0.803,0.2329,0.018,0.0173",
urn:cite:op:16B.29,urn:cts:greekLit:tlg0012.tlg001.msA:16.26@αγ,"urn:cite:hmt:vaimg.VA206VN-0708@0.819,0.2329,0.017,0.021",αγ ligature
